ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
11-47,03/04/23 10:32:50,https://twitter.com/JeannMiranda_AB/status/730232943327641600,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos japan,@JeannMiranda_AB,Jeann Miranda,Anakbayan National Chairperson,Identified,03/14,1284,4364,,1. Marcos actually made the Philippines rich. (We were ranked higher than Japan in his time) 2. Crime rates were low 3. It was peaceful,,Text,11/05/16 11:07,https://drive.google.com/file/d/1mfiK61Foo5gLjmhKF4rIy2sgm4jfp2Q4/view?usp=share_link,Rational,2,1,1,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",No location,,
11-48,03/04/23 10:40:24,https://twitter.com/JESSICARECTO/status/765071207523688448,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos japan,@JESSICARECTO,JESSICA RECTO,,Identified,05/14,26,1,,philippines is wealthy country during the time of marcos...we are more advance to japan and south korea,,"Text, Reply",15/08/16 14:22,https://drive.google.com/file/d/10JrrL8uQNFPxJAn0smONPRtbbpbZgxDW/view?usp=share_link,Rational,1,1,0,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this made us ""wealthy"" for a while, the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]","No bio, no location",,
11-49,31/03/23 00:15:23,https://twitter.com/Kim_Zhyril/status/1524977724321804288,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@Kim_Zhyril,지릴 🇵🇭/🇰🇷,"𝓑𝓮 𝔂𝓸𝓾𝓻 𝓸𝔀𝓷 𝓽𝔂𝓹𝓮 𝓸𝓯 𝓫𝓮𝓪𝓾𝓽𝔂,𝓜𝓪𝓻𝓴 𝓶𝔂 𝓦𝓸𝓻𝓭𝓼!",Anonymous,04/22,292,683,Brgy.Madayegdeg Sn.FDOLa Union,Guys diba totoo to na kung si marcos ang nagnakaw ng pera ng taumbayan. eh bakit nung panahon NG REHIMENG MARCOS IS PHILIPPINES. ANG TOP 1 SA MOST RICHEST COUNTRY. HINDI LANG SA ASIA kundi sa buong mundo noon. Hindi ba kayo nagtataka kung paanonabrainwashngmgaAquinoangmgapinoy?,"Guys, is it true that Marcos stole the people's money? eh why during the MARCOS REGIME IS PHILIPPINES. THE TOP 1 IN THE RICHEST COUNTRY. NOT ONLY IN ASIA but all over the world then. Don't you wonder how the Aquinas have brainwashed the Filipinos?",Text,13/05/22 12:59,https://drive.google.com/file/d/1ne7rtKWp_r2-l7aMxmzjYHENdYyfASWv/view?usp=share_link,Emotional,215,27,54,2,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term//]",,,
11-50,31/03/23 00:22:09,https://twitter.com/felamag/status/1562320630506467332,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Richest Marcos,@felamag,Felamag,,Anonymous,10/17,1221,1215,"Riyadh, Kingdom of Saudi Arabi","Totoo yan kahit sa Middle East na Multi Nationals ang mga makasalamuha mo sa trabaho, alam nila sa history books nila na one of richest tayo sa Asia noon, naghirap lang after Marcos regime. Nasabi rin ng friend kong Korean yan.","That's true even in the Middle East, the people you meet at work are Multi Nationals, they know from their history books that we were one of the richest in Asia at the time, only suffered after the Marcos regime. My Korean friend also said that.","Text, Reply",24/08/22 14:07,https://drive.google.com/file/d/1jZyE1QwcaEpvx2dfbukGcfUlUY7INcv8/view?usp=share_link,Rational,34,8,2,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",No bio,,
11-51,31/03/23 00:35:49,https://twitter.com/akeviv2/status/1439167069749059586,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@akeviv2,Alevea Velix,Humble Person,Anonymous,09/20,96,17,,"Isang Magnanakaw? How come?? FYI. During the time of Marcos as a president, philippines is one of the richest country in asia!!! Wake up girl!!!! MARCOS TIME LANG ANG SAKALAM",,"Text, Reply",18/09/21 17:59,https://drive.google.com/file/d/1Cao1jTUWbK8o21ubbMbgfd5ZuNmgKtjC/view?usp=share_link,Emotional,0,6,0,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",No location,,
11-52,31/03/23 00:43:50,https://twitter.com/CraigHowat1/status/1579029563090554881,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@CraigHowat1,C&A Howat,"Nature, classical music, exploring the wonders of western civilisation. Protecting free speech from the extreme left and rightwing and preserving democracy.",Identified,01/22,590,39,"UK, Philippines, Denmark","Like Marcos in Philippines? Philippines was the richest in south-east Asia but everything privatised and it stagnated under corruption until Duturte. Now national investment, tackling crime country growth up.",,"Text, Reply",09/10/22 16:42,https://drive.google.com/file/d/1BK5th31LB7kZFZNwmnslAk7HChhY70U-/view?usp=share_link,Rational,0,0,0,0,,,"During Marcos' term as president, the Philippines' ranking in Southeast Asia in terms of GDP went from 2nd to 3rd, while the GDP per capita ranking dropped from 3rd to 5th place.

[https://www.rappler.com/newsbreak/fact-check/239789-philippines-richest-country-asia-marcos-years/]",,,
11-53,31/03/23 00:47:43,https://twitter.com/R3troMerc/status/1524285889031159810,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@R3troMerc,Retro,"Don't take 93.205% of my tweets seriously

cba, farts, won't hesitate to beat you up with a plunger",Anonymous,11/20,156,7,Outside your house,"Cut the bullshit, Ferdinand Marcos Sr. Only implemented martial law to protect the Philippines from being invaded by the Japanese, if it wasn't for martial law, Philippines would be gone by now. 2:1 ratio for PHP during the term of Marcos, we were once the second richest in Asia.",,"Text, Reply",11/05/22 15:10,https://drive.google.com/file/d/1ub0yKUvxynNXcEZeia94CxHg5QY2bOXF/view?usp=share_link,Emotional,0,3,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Fake location, cannot identify full name",,
11-54,31/03/23 00:52:49,https://twitter.com/SolsticeNickzaa/status/1523973112999546880,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@SolsticeNickzaa,Nickza_🌻,"I'm not good at math but i can give the value
that you deserve. 🌻",Anonymous,03/21,100,6,,Why back 1960 the Philippines is the most richest country in the asia dahil kay marcos. At yang sinasabi niyo na kaya sinarado ni Tay digong ang ABS-CBN dahil kuno sa di sila nag bayad ng franchise kuno chuchu kung hindi ni tay digong isinirado babalik balikan nila ang issue -,"Why back 1960 the Philippines is the richest country in Asia because of Marcos. And what you're saying is that Tay Digong closed ABS-CBN because they didn't pay for the franchise, chuchu, if Tay Digong didn't close it, they'll come back and revisit the issue -","Text, Reply",10/05/22 18:27,https://drive.google.com/file/d/1Xf1yXvFZK_U3w8mC-ZnmR_Hety5Wtn4q/view?usp=share_link,Emotional,1,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","No location, cannot identify full name",,
11-55,31/03/23 00:55:55,https://twitter.com/_ilovesjy/status/1523884936251715586,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@_ilovesjy,abe.,my enhypen,Anonymous,10/21,281,358,,"We were once called the “Asia's Rising Tiger” because Philippines was one of the richest country in Asia next to Japan when Marcos, Sr. was the President. I hope BBM will do the same in his time.",,Text,10/05/22 12:37,https://drive.google.com/file/d/1DqgLpDaOnjs71gHKHpe9pH3sQs3d-Wkz/view?usp=share_link,Rational,1,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","No location, cannot identify full name",,
11-56,31/03/23 00:58:53,https://twitter.com/lalaliciousever/status/1495795795148386309,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@lalaliciousever,Mikay “mikmik” Dela Rosa,"Simple lyf!,.our nation is destined to be great again!.the tiger of Asia & pearl of the orient is on the rise!BBM-SARAH/UNITEAM..",Identified,10/11,709,400,Kuwait,..to be fair.. Philippines is one of the richest country in Asia next to Japan during marcos administration..free ang kuryente at tubig dhl gobyerno ang May hawak ng meralco nuon..nging private at ngkroon n ng byad naupo ang mga Aquino..ginawa n business,..to be fair..Philippines is one of the richest countries in Asia next to Japan during Marcos administration..free electricity and water from the government The owner of meralco then..it was private and ngkroon n byad the Aquinos sat down ..made a business,"Text, Reply",22/02/22 00:21,https://drive.google.com/file/d/1_N4zhp6O2kNvVduYOTy94cOSCmHgM02I/view?usp=share_link,Rational,0,2,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-57,31/03/23 01:03:48,https://twitter.com/lalaliciousever/status/1495791429398200323,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@lalaliciousever,Mikay “mikmik” Dela Rosa,"Simple lyf!,.our nation is destined to be great again!.the tiger of Asia & pearl of the orient is on the rise!BBM-SARAH/UNITEAM..",Identified,10/11,709,400,Kuwait,Totoo b?..dhl nirinig mo..nrinig mo dn b..Philippines is one of the richest country in Asia next to Japan during Marcos administration..tubig at kuryente is free dhl gobyerno ang May hawak ng meralco nuon..mga hospitals..mga tren..mga palengke at pbhay sa mhihirap nuon..nsearch m,Is it true b?..dhl you heard it..you heard it b..Philippines is one of the richest countries in Asia next to Japan during Marcos administration..water and electricity is free dhl the government owns meralco back then..the hospitals ..trains..markets and pubs in the poor then..nsearch m,"Text, Reply",22/02/22 00:04,https://drive.google.com/file/d/10srJFMSsS2yKC9q7ChNhjMeaJILOTa_8/view?usp=share_link,Rational,0,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-58,03/04/23 10:20:31,https://twitter.com/PresMarcos2022/status/729910795530686464,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos japan,@PresMarcos2022,andrei man,,Anonymous,04/16,100,13,,@nz_guimba and remember cuz of Pres.Marcos next to japan we are the second richest country back on his regime :) #BBM4VP,,Text,10/05/16 13:47,https://drive.google.com/file/d/1PtcPZbMZp8vHVdMm0w1RjC7bwBBQjTqK/view?usp=share_link,Rational,1,0,0,0,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","No bio, no location, account might be a troll",,
11-59,31/03/23 01:12:17,https://twitter.com/ktr_nma/status/1487972061251530752,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@ktr_nma,kat⁷,🦋,Anonymous,01/19,388,339,17,funny anti du30 and marcos pero want gera against china...haha people who oust anti duterte and marcos where are you...WHO IS THE ONE WHO WANTS CHINESE TO START A BUSINESS IN PHILIPPINES IN 1969 knowing that the philippines is the 3rd richest country in the whole asia?,,Text,31/01/22 10:12,https://drive.google.com/file/d/1SGKvmupneWMKRtCXTVwRwisttVVw2N3P/view?usp=share_link,Emotional,0,1,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Bio has butterfly emoji, cannot identify full name, fake location, start of a thread",,
11-60,31/03/23 01:23:57,https://twitter.com/MissHugotera/status/1454418529654956040,11,"Juanes, John Joven",MRCS,Philippines richest in Asia under Marcos Sr. administration,Philippines Richest Marcos,@MissHugotera,sapphire,BBM-SARA ✌️❤️👊💚,Anonymous,01/18,282,896,Neverland,"WALA NAMANG NINAKAW KASI WALANG MANANAKAW SA PILIPINAS NOON! MARCOS IS ONE OF THE MOST RICHEST BACK THEN EVEN THE PHILIPPINES, #2 RICHEST IN ASIA NUNG PRESIDENT SYA! YUNG TRILYON NA UTANG NG AQUINO FOR 6 YRS PURO TULAY NA SIRA AT REBULTO LANG NAMAN NAGAWA!","NOTHING WAS STOLEN BECAUSE THERE WERE NO THIEVES IN THE PHILIPPINES BEFORE! MARCOS IS ONE OF THE MOST RICHEST BACK THEN EVEN THE PHILIPPINES, #2 RICHEST IN ASIA WHEN HE WAS PRESIDENT! THE TRILLION DEBT OF AQUINO FOR 6 YRS IS JUST A BROKEN BRIDGE AND A STATUE WAS MADE AGAIN!","Text, Reply",30/10/21 20:02,https://drive.google.com/file/d/1iFTCtmXYXylNwON6LQr1V7UiOG7J-y5e/view?usp=share_link,Emotional,0,2,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Fake location, cannot identify full name",,
11-61,03/04/23 09:08:23,https://twitter.com/itsmeYsaBelle88/status/702696349242765312,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos richest,@itsmeYsaBelle88,ms.finally,LIZQUEN...JOSHANE....JUSTIN BIEBER❤❤❤,Anonymous,01/16,27,3,sa imong heart...,May good side nmn ang pagiging president ni Marcos noon.....one of the richest tau noon but now....idk😔,,Text,25/02/16 11:27,https://drive.google.com/file/d/1Q6Qse5xOtdcB7hXMNBUTbjENY6B8rC_6/view?usp=share_link,Emotional,1,0,1,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",Fake location,,
11-62,03/04/23 09:21:50,https://twitter.com/sandromarcos70/status/730329895167885312,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos richest,@sandromarcos70,Sandro Marcos,Supporters Account || #BBM4VP,Anonymous,05/16,32,35,Manila x London,"Accept the fact that our country is one of the Richest Country in Asia by The Marcos Regime...
#RecountVP
#BBM4VP 
#BongBongIsRealVP",,Text,11/05/16 17:33,https://drive.google.com/file/d/1bCn_o6vCS1SCh4EV5yO3eVlYrshkSaxb/view?usp=share_link,Emotional,6,0,3,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-63,03/04/23 09:25:49,https://twitter.com/lehmannlaura123/status/702708748553326593,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos richest,@lehmannlaura123,Laura Lehmann FP,STAN ACC ONLY || snc: 02-19-15,Anonymous,02/15,537,4907,MWPH laura lehmann follows,"LOL NO! PH IS ONE OF THE RICHEST COUNTRY UNDER MARCOS ERA

{Alt-text quote tweet: Tweet by ABS-CBN News with content ""PNoy: PH was 'sick man of Asia' under Marcos era http://bit.ly/1QzludO""}",,"Text, Reply",25/02/16 12:16,https://drive.google.com/file/d/1moV21uEFZcA1bVPaE96K3YgOND6rBYYx/view?usp=share_link,Emotional,1,0,0,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",Fake location,,
11-64,03/04/23 09:33:50,https://twitter.com/theRJFT/status/702693276474675200,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos richest,@theRJFT,RusselFuentesTarcita,"I'm (soon to be) billionaire, (NOT a) playboy, (aspiring) philanthropist. I am Superman.",Identified,09/15,74,4838,kepler,"Philippines is the second richest country in asia when Marcos' time!
#EDSA30",,Text,25/02/16 11:15,https://drive.google.com/file/d/1OvrJl7thHfodLFCvqFq61eY7BC48vvgY/view?usp=share_link,Rational,1,0,2,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Fake location,,
11-65,03/04/23 09:46:11,https://twitter.com/lehmannlaura123/status/702106128851709952,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos richest,@lehmannlaura123,Laura Lehmann FP,STAN ACC ONLY || snc: 02-19-15,Anonymous,02/15,537,4907,MWPH laura lehmann follows,"Nung under ang philippines ng Marcos admin, Philippines is one of the richest country in d world",,Text,23/02/16 20:22,https://drive.google.com/file/d/15xD2PXhhG2_jPKPNhHUolFlZfDSCzHHC/view?usp=share_link,Rational,0,0,0,0,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Fake location,,
11-66,03/04/23 10:11:21,https://twitter.com/nicolemaniquis_/status/796358769097654272,11,"Balete, Immanuel Josiah",MRCS,Richest country during martial law,marcos richest,@nicolemaniquis_,nicole,,Identified,07/14,321,424,,"during marcos' time, we were one of the richest country in asia and did a lot of things. and yet, people only see his mistakes 🙄",,Text,09/11/16 22:28,https://drive.google.com/file/d/1n-DaEn3uQelL8Pz7XWVtgYmZlxeU5w5T/view?usp=share_link,Emotional,3,1,0,0,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]","No bio, no location",,
11-67,18/04/23 10:40:52,https://twitter.com/bless_meli/status/764371921420947457,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@bless_meli,Bless Meli,"I'm a proud SOLID BBM SUPPORTER
Let's bravely fight for what we believe in.",Anonymous,12/15,508,742,"NCR, Republic of the Phils","We were the richest country in Asia. #FEMrealHERO During his time.

{Alt-text image: photo of former president Ferdinand Marcos Sr. with a list of supposed achievements during his presidency.}",,"Text, Image",13/08/16 16:04,,Rational,6,0,10,,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. We are also 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Does not seem to be real name,,
11-68,18/04/23 21:40:19,https://twitter.com/ncglnnnn/status/730051395513028608,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@ncglnnnn,o)!u,🥀,Anonymous,02/16,138,258,"Ilocos Region, Republic of the",Philippines is the richest country in asia next to Japan during the Marcos Era.,,Text,10/05/16 23:06,,Rational,0,1,0,,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Self reply,,
11-69,18/04/23 21:47:03,https://twitter.com/SsanBartZ/status/727102627763228677,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@SsanBartZ,One Flag One Nation,Vdrink Malunggay Juice Drink,Anonymous,02/16,242,258,,"If i given a chance to go back in time I'll choose to be in Marcos era that time Philippines is 2nd to d richest country in Asia
#BangonPnas",,Text,02/05/16 19:49,,Emotional,0,0,0,,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. We are also 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",No location,,
11-70,18/04/23 21:51:41,https://twitter.com/jashmenereine/status/730341312226951170,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@jashmenereine,-,almost but not quite,Identified,11/13,304,629,ph,"Accept the fact that our county was one of the richest country in Asia by the Marcos regime. 
@sandromarcos7
  #BongBongIsRealVP",,Text,11/05/16 18:18,,Emotional,0,0,0,,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",,,
11-71,18/04/23 21:57:42,https://twitter.com/RamosShirk/status/685377318185897984,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@RamosShirk,H A C K E D,H A C K E D,Anonymous,05/13,108,602,"Scaggsville, MD",Ferdinand Emmanuel Edralin Marcos generation is better. We are the 2nd Richest Country in Asia during his time. 👌👍💪#TigerOfAsia #Discipline,,Text,08/01/16 16:27,,Rational,0,0,0,,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. We are also 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-72,18/04/23 22:26:36,https://twitter.com/PresMarcos2022/status/730417422272847872,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@PresMarcos2022,andrei man,,Anonymous,04/16,100,13,,"@atty_chinito
 look where our country got into back on his regime ONE OF THE RICHEST COUNTRY IN ASIA.",,"Text, Reply",11/05/16 23:20,,Emotional,0,1,0,,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]","No bio, no location, account might be a troll

Tweet is part of thread",,
11-73,18/04/23 22:39:20,https://twitter.com/kimverly_cutie/status/728205921172606981,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@kimverly_cutie,hopeeeeee💙🖤,"I close my eyes to see the beauty of 
darkness.. To let my heart settle for
the light in your eyes.. (L27) (bubbles x Ot16) Bui's safe zone 💙 
@JakeB4rever",Anonymous,08/10,532,189,philippines,Our country used to be the second richest and powerful country within Asia in Marco's time. What about yellow flag? DUTERTE TILL THE END,,Text,05/05/16 20:53,,Emotional,2,0,4,,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. We are also 30th worldwide when Marcos was ousted.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",,,
11-74,19/04/23 17:17:28,https://twitter.com/BloomyPanda/status/702698845721866240,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@BloomyPanda,Cheniru Kim,"i fall in love with KPop.... Chinita, makulit, author sa watty BloomyRain is my pen name. I love traveling.",Anonymous,09/15,29,4,Pangasinan,#Marcos is the only President who made the Philippines as one of the Richest Country in Asia and the ff. Made us as one of the Poor Country,,Text,25/02/16 11:37,,Rational,0,0,0,,,,"This requires more context. Marcos was excessively loaning, causing national debt to grow to 24.4 billion dollars. While this allowed for economic ""growth"", the country's development crashed when we failed to settle these debts.

[https://econ.upd.edu.ph/perse/?p=5058]",Unsure if Cheniru Kim is actual name,,
11-75,19/04/23 17:24:24,https://twitter.com/therealmrsbyun/status/729938399755296768,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@therealmrsbyun,🙊 patchot 🙊,♥exol&bbhstan since 041811♥⚠I could be your nightmare or your paradise depends on how you treat me⚠ 🙈 Mas dyosa pa sa diwata 🙈,Anonymous,09/14,1039,948,sa dorm ng EXO ag ag,"When FM was still the pres of the ph, ph is second to the most richest country in asia. What if BBM&DU30 can make it again? #BBM4VP #DU30",,Text,10/05/16 15:37,,Rational,8,0,2,,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",Fake location,,
11-76,19/04/23 17:27:37,https://twitter.com/vonericksonn/status/702750611444338688,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@vonericksonn,von,a taurus,Identified,12/12,1385,866,,we were the 3rd richest country in Asia during the Marcos regime. but people only know him about his dictatorship. #EDSA30,,Text,25/02/16 15:02,,Rational,0,0,0,,,,"During Marcos' term as president, the highest ranking that the Philippines reached in Asia was 10th in terms of GDP and 11th in terms of GDP per capita. The Philippines was never close to being in the top five in Asia in either of these economic measures. 

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]",No location,,
11-77,19/04/23 17:33:37,https://twitter.com/xtian_ss/status/729842595606593537,11,"Balete, Immanuel Josiah",MRCS,Philippines richest in Asia under Marcos Sr. administration,richest country in asia,@xtian_ss,mr. græy #KVersePH_TAEYEON,he/they • taeyeon • girls' generation • aespa • (KTY.18.23) (TIFF.20) (GG.RV.15) (æ.23) 🐼,Anonymous,03/14,189,2506,bns acc: @shikicart_ss,"@AHSUJUSSI
 oooohhh wow.. oo nga noh. For a time baga, Ph was considered as the 2nd richest country in asia behind jap. Only marcos.",,"Text, Reply",10/05/16 09:16,,Emotional,0,0,0,,,,"During the Marcos regime, Japan was among the top 3 Asian countries in terms of GDP. In contrast, the Philippines never ranked near the top 5 in Asia in GDP or GDP per capita.

[https://www.rappler.com/newsbreak/fact-check/philippines-richest-country-next-japan-marcos-term/]","Fake location, tweet is part of thread",,
